"sub_id" "activity_id" "TimeBodyAccelerometerMagnitude-mean" "TimeBodyAccelerometerMagnitude-std" "TimeGravityAccelerometerMagnitude-mean" "TimeGravityAccelerometerMagnitude-std" "TimeBodyAccelerometerJerkMagnitude-mean" "TimeBodyAccelerometerJerkMagnitude-std" "TimeBodyGyroMagnitude-mean" "TimeBodyGyroMagnitude-std" "TimeBodyGyroJerkMagnitude-mean" "TimeBodyGyroJerkMagnitude-std" "FrequencyBodyAccelerometerMagnitude-mean" "FrequencyBodyAccelerometerMagnitude-std" "FrequencyBodyAccelerometerJerkMagnitude-mean" "FrequencyBodyAccelerometerJerkMagnitude-std" "FrequencyBodyGyroMagnitude-mean" "FrequencyBodyGyroMagnitude-std" "FrequencyBodyGyroJerkMagnitude-mean" "FrequencyBodyGyroJerkMagnitude-std"
1 3.5 -0.502409110318464 -0.538156905950277 -0.502409110318464 -0.538156905950277 -0.605251331125651 -0.580785492287113 -0.524267037950698 -0.548925681584191 -0.689909091561354 -0.699878586459143 -0.529890298804607 -0.618313756040686 -0.564109672118362 -0.606091778990876 -0.586029618380895 -0.606222958155071 -0.693819484307857 -0.73030561965879
2 3.5 -0.536497240528241 -0.549460866962601 -0.536497240528241 -0.549460866962601 -0.592007231344085 -0.516432069843229 -0.614660691896535 -0.680302875477734 -0.74973358878483 -0.742465864746364 -0.512769875282941 -0.642754769198219 -0.513773698233219 -0.523481368484222 -0.701314169450121 -0.723710474434309 -0.753697262782972 -0.74675060176097
3 3.5 -0.549187225906994 -0.575470592833201 -0.549187225906994 -0.575470592833201 -0.638336485026327 -0.593835136981087 -0.632006090117789 -0.663018412010014 -0.77676920219772 -0.797818418452234 -0.562272538022668 -0.650504959704523 -0.589938225016909 -0.603274087640052 -0.706879669409521 -0.694099520870198 -0.803902449800401 -0.805068456010515
4 3.5 -0.551941109521926 -0.593054008760419 -0.551941109521926 -0.593054008760419 -0.650012223674647 -0.642089063190999 -0.650243296445487 -0.70095621055583 -0.815716410596262 -0.84088067632288 -0.588785033820305 -0.661361047437152 -0.628702754216596 -0.662977283778751 -0.739804767997846 -0.727874366925064 -0.835242846498036 -0.860447349831339
5 3.5 -0.452417420835575 -0.511303059420799 -0.452417420835575 -0.511303059420799 -0.584302388753649 -0.584647133063373 -0.598565237679846 -0.660714573866787 -0.705648314121938 -0.733270956358052 -0.520279804361377 -0.584302553694405 -0.568099207085373 -0.610094495035244 -0.673954514501717 -0.712875292601379 -0.746932965766388 -0.735930850429407
6 3.5 -0.438125357219738 -0.456747048111633 -0.438125357219738 -0.456747048111633 -0.530539699351694 -0.48094901027923 -0.529525005736472 -0.561031640798866 -0.604850620920806 -0.628643402840979 -0.446904726703678 -0.548117843398408 -0.472392254861639 -0.4956108154975 -0.560204216268468 -0.64208814431471 -0.636599652312656 -0.644756669748026
7 3.5 -0.512258790585326 -0.506890429577559 -0.512258790585326 -0.506890429577559 -0.625338662410775 -0.552459995786436 -0.581814845039882 -0.601890725806866 -0.717212257570605 -0.664345727280859 -0.515582742036343 -0.580052642627865 -0.55537507048311 -0.55244485638314 -0.632475904683211 -0.653390780727883 -0.674031314544645 -0.676345072227856
8 3.5 -0.415317775581138 -0.509441800072555 -0.415317775581138 -0.509441800072555 -0.481638027637014 -0.513835549285518 -0.424515926904099 -0.538900166873914 -0.637301438956994 -0.682110544787424 -0.45964375736945 -0.618975054929347 -0.474437922357056 -0.573869107598827 -0.567685915817788 -0.601755582009757 -0.666886696502757 -0.726621805047475
9 3.5 -0.497053818458608 -0.538253153430344 -0.497053818458608 -0.538253153430344 -0.617343355014732 -0.598877048783327 -0.546362996029582 -0.658558772540008 -0.759972665245968 -0.781470472921583 -0.540023349144818 -0.611053673921914 -0.599974825952106 -0.600800588015635 -0.695938757017769 -0.69408467685939 -0.781921098644418 -0.796725117581008
10 3.5 -0.462124566565028 -0.509562909130007 -0.462124566565028 -0.509562909130007 -0.545569083846005 -0.497058280024696 -0.491338075283469 -0.601082202182182 -0.71697615242987 -0.754857427787744 -0.481002341310661 -0.604074822185365 -0.480358626958269 -0.524479978354562 -0.640045871274824 -0.645605350184157 -0.753104541843065 -0.775198778715417
11 3.5 -0.537022703179872 -0.604055453800945 -0.537022703179872 -0.604055453800945 -0.677009280669069 -0.660085810234712 -0.626519934405789 -0.694561930446156 -0.826821790521499 -0.865976892031496 -0.602268293253628 -0.667278430419765 -0.651565388986671 -0.673374821235063 -0.755993704189523 -0.709087708961474 -0.863742821398625 -0.878614436497336
12 3.5 -0.52581929442581 -0.54080813496399 -0.52581929442581 -0.54080813496399 -0.599499041744005 -0.530423426106772 -0.607782111473282 -0.665686748598035 -0.759341177820846 -0.769490470681765 -0.523355607971201 -0.623638129241065 -0.528137124556719 -0.536200994649189 -0.697973395650385 -0.703609875420912 -0.773205062866807 -0.781487156629909
13 3.5 -0.526005562432432 -0.581482663021054 -0.526005562432432 -0.581482663021054 -0.613181210105565 -0.596192567084276 -0.568539687590431 -0.62654493007203 -0.703452292645773 -0.701758695577085 -0.573012515329068 -0.652795644177639 -0.592751271793029 -0.60377833872287 -0.641250014753026 -0.684756952016898 -0.701347923481385 -0.72418789671009
14 3.5 -0.435398633682376 -0.44566548328137 -0.435398633682376 -0.44566548328137 -0.591276673446234 -0.582059304479488 -0.399340185850247 -0.459980159301035 -0.688958332938313 -0.714079123325898 -0.461227563204459 -0.525109861993206 -0.574216729081279 -0.595875765531017 -0.529860376514273 -0.508644324841428 -0.704331650002269 -0.749040269844138
15 3.5 -0.45704246205494 -0.489519829937469 -0.45704246205494 -0.489519829937469 -0.603489917534618 -0.567013591598899 -0.569252142640717 -0.636213675182091 -0.779485710599771 -0.815863975634646 -0.495889756737348 -0.56629808318439 -0.555124457206534 -0.586534665473701 -0.69901121725408 -0.659270345250961 -0.815165095312803 -0.830511072777432
16 3.5 -0.532556728801469 -0.59061037754953 -0.532556728801469 -0.59061037754953 -0.662883321972443 -0.655511911559902 -0.662455931376447 -0.744441929496293 -0.829379390200121 -0.847201164467333 -0.594086575289424 -0.653727112831609 -0.647737994281219 -0.66811529383627 -0.781298070205572 -0.765829434025042 -0.84456831940734 -0.861793089426473
17 3.5 -0.486401891800627 -0.560334736004468 -0.486401891800627 -0.560334736004468 -0.641020659652516 -0.639183068883042 -0.618156381981354 -0.704739315971759 -0.778401816491922 -0.797199434192405 -0.572876410677763 -0.622398401173466 -0.641032752124553 -0.640767071421031 -0.728133107082556 -0.74210524269405 -0.799960588904441 -0.809287615089791
18 3.5 -0.633887375511002 -0.667077942742209 -0.633887375511002 -0.667077942742209 -0.735234277113126 -0.725661204791669 -0.695330865768266 -0.761049062542931 -0.849409362880408 -0.880303009868244 -0.67521480976535 -0.714870152366085 -0.722643404770836 -0.730996157813388 -0.803718804205417 -0.776272107780611 -0.876115896812309 -0.894977204680635
19 3.5 -0.360339615596535 -0.456847609555565 -0.360339615596535 -0.456847609555565 -0.420754242381293 -0.457051176573636 -0.39680060151774 -0.482129335559894 -0.568417215717369 -0.628655416008968 -0.394044125144445 -0.581883667519415 -0.419912850261065 -0.513821733980107 -0.511424695131777 -0.555233079650487 -0.61928096098364 -0.669110969263669
20 3.5 -0.427651522246672 -0.495081552805969 -0.427651522246672 -0.495081552805969 -0.546647784569856 -0.510467190830154 -0.433149520738517 -0.511366411116174 -0.625450228514536 -0.627222722638424 -0.479603514018865 -0.585438339876532 -0.506354864113741 -0.520110841356674 -0.54031156073451 -0.577649930588948 -0.63820923933733 -0.64014884276614
21 3.5 -0.474139193674883 -0.53082378553876 -0.474139193674883 -0.53082378553876 -0.587820597129262 -0.554913121845452 -0.583782590212456 -0.680514896174908 -0.735129231891952 -0.759321109742297 -0.526692429448023 -0.606886462106485 -0.553571959246011 -0.561618753712915 -0.698031665001364 -0.724945568841876 -0.761408708006892 -0.775507442172444
22 3.5 -0.369740845333605 -0.493448674008666 -0.369740845333605 -0.493448674008666 -0.502865338270059 -0.482855504640584 -0.550048564524041 -0.602535408915988 -0.739247928204657 -0.785531716364266 -0.462877310175164 -0.592808367733695 -0.474776320048735 -0.498476548275726 -0.662795321373152 -0.632873935011881 -0.788040811753986 -0.799696517597639
23 3.5 -0.474611967718596 -0.514337369271249 -0.474611967718596 -0.514337369271249 -0.535550093540506 -0.505434506952736 -0.49232902464265 -0.494569916046862 -0.58110319721638 -0.529090055170426 -0.472064060075261 -0.617310894046745 -0.486642372829366 -0.534882079937653 -0.48460013413772 -0.595568387236303 -0.538762415537904 -0.553102682382944
24 3.5 -0.581841761493073 -0.615239655007873 -0.581841761493073 -0.615239655007873 -0.683337135533477 -0.65608799150266 -0.652568193684433 -0.718613171060927 -0.770033863493088 -0.767123720460038 -0.613705375282241 -0.676379795714326 -0.664850227547221 -0.647912936397692 -0.729895043946092 -0.762022203789312 -0.773788286264025 -0.77502338468379
